respondent,worldheckin,worldnotheckin,gooddogs,goodcats
1,Yes,Yes,Yes,No
2,Yes,Yes,Yes,No
3,Yes,Yes,No,Yes
4,Yes,No,0,0
5,Yes,Yes,Yes,No
6,No,No,Yes,Yes
7,Yes,Yes,Yes,Yes
8,Yes,Yes,Yes,Yes
9,Yes,Yes,No,Yes
10,Yes,Yes,Yes,Yes
11,No,Yes,No,Yes
12,No,No,Yes,Yes
13,Yes,Yes,Yes,Yes
14,Yes,Yes,Yes,Yes
15,No,No,Yes,No
16,Yes,No,Yes,Yes
17,Yes,Yes,No,Yes
18,Yes,Yes,Yes,Yes
19,Yes,No,Yes,No
20,Yes,Yes,Yes,Yes
21,Yes,Yes,Yes,Yes
22,Yes,Yes,Yes,Yes
23,Yes,No,Yes,Yes
24,Yes,Yes,Yes,No
25,Yes,Yes,Yes,Yes
26,Yes,Yes,Yes,Yes
27,Yes,Yes,No,No
28,No,No,Yes,Yes
29,No,Yes,No,Yes
30,No,No,Yes,Yes
31,Yes,Yes,Yes,Yes
32,Yes,Yes,No,No
33,Yes,Yes,Yes,Yes
34,Yes,Yes,No,No
35,Yes,No,Yes,Yes
36,Yes,Yes,No,Yes
37,Yes,Yes,Yes,Yes
38,Yes,No,No,No
39,Yes,No,Yes,No
40,No,No,No,Yes
